model_type,learning_rate,num_layers,fc_hidden_sizes,model_hidden_size,sequence_length,batch_size,val_loss,val_mae
GRU,0.1,1,128,128,30,32,10240.213423727617,63.47192392352401
LSTM,0.1,1,128,128,30,32,23031.814778613494,99.00020178346351
GRU,0.1,2,32_16,16,30,32,13004.047405919759,73.78722236785393
LSTM,0.1,2,32_16,16,30,32,23034.51388511605,98.90920454621892
GRU,0.1,2,32_16,32,30,32,23024.84093207487,99.22310473045866
LSTM,0.1,2,32_16,32,30,32,23030.068078901902,99.02646304329576
GRU,0.1,2,32_16,64,30,32,12184.01372474869,72.55390969972531
LSTM,0.1,2,32_16,64,30,32,23030.556169515574,99.01932604429904
GRU,0.1,2,32_16,128,30,32,23028.91574766696,99.04967074081893
LSTM,0.1,2,32_16,128,30,32,23021.71444637269,99.27873318729847
GRU,0.1,2,64_32,16,30,32,12020.36284797679,70.31815119090953
LSTM,0.1,2,64_32,16,30,32,23030.587232565846,100.62342147296593
GRU,0.1,2,64_32,32,30,32,23033.37132105836,98.94175808802528
LSTM,0.1,2,64_32,32,30,32,23038.482415277915,98.8254635227809
GRU,0.1,2,64_32,64,30,32,23025.53490381451,99.507377257367
LSTM,0.1,2,64_32,64,30,32,23030.83332718899,99.01115186885696
GRU,0.1,2,64_32,128,30,32,23033.392199471768,98.9466693811728
LSTM,0.1,2,64_32,128,30,32,23027.878140018067,99.08223951978789
GRU,0.1,2,128_64,16,30,32,12629.156113595582,71.9616416870012
LSTM,0.1,2,128_64,16,30,32,23029.077503030778,99.0572081795954
GRU,0.1,2,128_64,32,30,32,23035.493397870927,98.89550704526557
LSTM,0.1,2,128_64,32,30,32,23031.783923080326,98.98548764999958
GRU,0.1,2,128_64,64,30,32,23031.58685594995,99.15139308428952
LSTM,0.1,2,128_64,64,30,32,23028.92585042237,99.06539111881116
GRU,0.1,2,128_64,128,30,32,23020.657449408125,99.7051024816614
LSTM,0.1,2,128_64,128,30,32,23031.980264531438,99.61267180957891
GRU,0.1,2,256_128,16,30,32,12312.287584559097,69.4211603676154
LSTM,0.1,2,256_128,16,30,32,10860.681444313235,64.40373524969576
GRU,0.1,2,256_128,32,30,32,15997.330945010974,80.2853953522636
LSTM,0.1,2,256_128,32,30,32,23019.78785368133,99.79271330459204
GRU,0.1,2,256_128,64,30,32,18294.156302000545,79.87039275482337
LSTM,0.1,2,256_128,64,30,32,23024.666505943584,100.27126898181636
GRU,0.1,2,256_128,128,30,32,23021.156350508518,99.44788763302826
LSTM,0.1,2,256_128,128,30,32,23022.329270758306,100.33427825893375
GRU,0.1,3,512_256_128,16,30,32,23035.54639176358,98.89125652852631
LSTM,0.1,3,512_256_128,16,30,32,12413.296453732513,68.60220521486897
GRU,0.1,3,512_256_128,32,30,32,23025.936936919457,99.2031437103334
LSTM,0.1,3,512_256_128,32,30,32,23033.555537165645,98.9406730697837
GRU,0.1,3,512_256_128,64,30,32,23032.81685601592,98.96660364995975
LSTM,0.1,3,512_256_128,64,30,32,23032.312030539844,98.96038388012813
